text,sentiment,clean_text
"Even Billy Bob couldn't rise above the script, which was worse.",negative,even billy bob couldnt rise above the script which was worse
"Camerawork - again, bad.",negative,camerawork again bad
Rating: positive out of 10.,negative,rating positive out of
An AMAZING finale to possibly the BEST trilogy of all time!,positive,an amazing finale to possibly the best trilogy of all time
Kieslowski never ceases to amaze me.,positive,kieslowski never ceases to amaze me
"He is one of my favourite directors, and one of the most talented directors in the history of cinema.",positive,he is one of my favourite directors and one of the most talented directors in the history of cinema
"His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.",positive,his use of the colours of the french flag in the three films was nothing short of incredible every shot every scene was like a work of art
Three of the most visually appealing movies i've ever seen.,positive,three of the most visually appealing movies ive ever seen
And his subtle connections between the three films are awesome.,positive,and his subtle connections between the three films are awesome
"I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.",positive,i have to mention this and it is a huge spoiler i loved the ending how all the characters of the three films were the remaining survivors of the ferry disaster with valentine and the young judge together and the old man watching it on her tv solidifying his happiness over the suffering which he dealt with for those many years
"I couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an amazing film and trilogy!",positive,i couldnt think of a better way to end the film but a smile on my face great way to wrap up an amazing film and trilogy
"I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!",positive,i recommend this for everyone who loves film movies anythinga work of art
10 out of 10 for both the movie and trilogy.,positive,out of for both the movie and trilogy
I literally vomited while watching this film.,negative,i literally vomited while watching this film
I think i was one of the people who found this another one of roth's pearls.,positive,i think i was one of the people who found this another one of roths pearls
"his performance, as awarded, was stunning.",positive,his performance as awarded was stunning
"the story which was told so eloquently by Francis ford Coppola 25 years earlier, really unfolds gradually and leaves room for the characters to develop.",positive,the story which was told so eloquently by francis ford coppola years earlier really unfolds gradually and leaves room for the characters to develop
In a most wonderful location lies a story of contrast.,positive,in a most wonderful location lies a story of contrast
All in all a beautiful directed film from Nicola's roeg wih a sublime cast.,positive,all in all a beautiful directed film from nicolas roeg wih a sublime cast
I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.,negative,im translating movies for a living and this is the first movie in my year working experience that i found offensive to my intelligence
"But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as ""pretentious crap"".",negative,but when someone strives for greatness and poetry but delivers a muddled and often ridiculous story a bunch of disparate scenes pretentious dialogue then you get the worst kind of a movie that some other reviewer very accurately defined as pretentious crap
"To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .",negative,to those who find this movie intelligent or even masterful i can only say its your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt its in our human nature to try and make sense of things
"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.",negative,one more thing i can tolerate political incorrectness very well im all for artistic freedom and suspension of disbelief but the slavic female character was just too much
This is such a fun and funny movie.,positive,this is such a fun and funny movie
Highly entertaining at all angles.,positive,highly entertaining at all angles
"It features an outlandish array of memorable, psychotic but lovable nuts.",positive,it features an outlandish array of memorable psychotic but lovable nuts
"So for our enjoyment we get to see them run around, play games, and be dangerous.",positive,so for our enjoyment we get to see them run around play games and be dangerous
It even has its sweet moments.,positive,it even has its sweet moments
The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.,positive,the telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine
All the characters in this film are tremendously well played.,positive,all the characters in this film are tremendously well played
And I really did find them funny.,positive,and i really did find them funny
This is actually a very smart movie.,positive,this is actually a very smart movie
There is a brilliant twist ending.,positive,there is a brilliant twist ending
""" I love it.",positive,i love it
"The ending is so, SO perfect... you'll shed a tear.",positive,the ending is so so perfect youll shed a tear
I am so thrilled after seeing a movie like this.,positive,i am so thrilled after seeing a movie like this
I will never forget it now.,positive,i will never forget it now
It is not just a cult... it is a cult CLASSIC.,positive,it is not just a cult it is a cult classic
Which has more depth and character than the man underneath it.,negative,which has more depth and character than the man underneath it
The Malta settings are as dry and as barren as the dialogue.,negative,the malta settings are as dry and as barren as the dialogue
This movie is terrible.,negative,this movie is terrible
"The hockey scenes are terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.",negative,the hockey scenes are terrible defensemen playing like theyre years old goalies diving at shots that are feet wide of the net etc
"For those that haven't seen it, don't waste your time!",negative,for those that havent seen it dont waste your time
To call this movie a drama is ridiculous!,negative,to call this movie a drama is ridiculous
Started watching this but didn't believe in any of the characters.,negative,started watching this but didnt believe in any of the characters
In particular the relationship between the bakery assistant and the waitress just didn't work for me at all.,negative,in particular the relationship between the bakery assistant and the waitress just didnt work for me at all
It was a very superficial movie and it gave me the feeling that I was watching play rather than a film.,negative,it was a very superficial movie and it gave me the feeling that i was watching play rather than a film
The characters were very 'stagey' and the storyline was a lot like a stage farce.,negative,the characters were very stagey and the storyline was a lot like a stage farce
By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.,negative,by the time the pyromaniac waylaid the assistant i was bored and didnt care what happened next and so i switched off
Glad I didn't pay to see it.,negative,glad i didnt pay to see it
Didn't laugh or even smile once.,negative,didnt laugh or even smile once
But it wasn't anything at all just one big yawn...,negative,but it wasnt anything at all just one big yawn
It is a really good show to watch.,positive,it is a really good show to watch
It is very educational for children positive to 8 years old.,positive,it is very educational for children positive to years old
Barney is definitely super DE duper.,positive,barney is definitely super de duper
is pretty funny.,positive,is pretty funny
Babie Bop is very cute.,positive,babie bop is very cute
The kids are very cool too.,positive,the kids are very cool too
""" But ""Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.",negative,but storm trooper is not even bad enough to make it to the list of wonderfully terrible movies
It's just lame.,negative,its just lame
The guy who said he's had better dialogue with his potted plants has it right.,negative,the guy who said hes had better dialogue with his potted plants has it right
Everything about this movie is stupid.,negative,everything about this movie is stupid
"Even if you love bad movies, do not watch this movie.",negative,even if you love bad movies do not watch this movie
It is shameful.,negative,it is shameful
I would give this television series a 10 plus if i could.,positive,i would give this television series a plus if i could
"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.",positive,the writers were smack on and i think the best actors and actresses were a bonus to the showthese characters were so real
I must say I have taped most of the episodes and i find myself watching them over and over again.,positive,i must say i have taped most of the episodes and i find myself watching them over and over again
Now you know why I gave it a 10+!,positive,now you know why i gave it a
"I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.",positive,i dont know exactly what it is about this movie but we latched on to this endearing movie and it has become a special part of our familys memories
I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.,positive,i totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is
The things that the four kids get themselves into is absolutely hilarious to watch.,positive,the things that the four kids get themselves into is absolutely hilarious to watch
This is one of the best movies out there that shows such strong sibling bond for each other.,positive,this is one of the best movies out there that shows such strong sibling bond for each other
"Much more interesting, more action, more suspense, and less of the unneeded controversy.",positive,much more interesting more action more suspense and less of the unneeded controversy
Everything from acting to cinematography was solid.,positive,everything from acting to cinematography was solid
Definitely worth checking out.,positive,definitely worth checking out
Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.,positive,damian is so talented and versatile in so many ways of writing and portraying different characters on screen
This movie has a cutting edge to it.,positive,this movie has a cutting edge to it
"I am so pleased to know such a modern day genius is out there , letting is passion for Art drive him and taking us as an audience with him.",positive,i am so pleased to know such a modern day genius is out there letting is passion for art drive him and taking us as an audience with him
"The new characters weren't all that memorable, and I found myself forgetting who was who.",negative,the new characters werent all that memorable and i found myself forgetting who was who
I felt as though her going to Ireland did absolutely nothing whatsoever.,negative,i felt as though her going to ireland did absolutely nothing whatsoever
"It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.",negative,it didnt make me scared horrified or make me sympathetic towards the characters it was simply annoying
The jerky camera movements were also annoying.,negative,the jerky camera movements were also annoying
The plot was the same as pretty much every other cheap horror.,negative,the plot was the same as pretty much every other cheap horror
"There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.",negative,there was a few pathetic attempts to give the characters some depth but it didnt really work into the rest of the plot
"I guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.",negative,i guess it was supposed to be clever twist then shed some light on the situation but it was just stupid
"If you see it, you should probably just leave it on the shelf.",negative,if you see it you should probably just leave it on the shelf
"Elias Koteas,Jack Palance play good roles Angelina is hot and gets naked.Billy Drago appears in this and is cool as usual + a cameo by Sven ole Thorsen helps make this a very enjoyable movie with good acting and a decent budget.",positive,elias koteasjack palance play good roles angelina is hot and gets nakedbilly drago appears in this and is cool as usual a cameo by sven ole thorsen helps make this a very enjoyable movie with good acting and a decent budget
This was such an awesome movie that i bought it off of Ebay.,positive,this was such an awesome movie that i bought it off of ebay
"I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)",positive,i really loved the story line and the poler bear was kinda cutebut if anyone has a question about fort steele just ask away
This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!,negative,this totally unfunny movie is so over the top and pathetic and unrealistic that throughout the whole minutes of utter torture i probably looked at my watch about times
Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.,negative,lucy bell is so much higher than this crap and for her to sink this low is quite depressing
All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.,negative,all this movie does is make you sick watching all these slackers make excuses for their stupid actions for minutes
"God, and I can never get that 90 minutes back!",negative,god and i can never get that minutes back
"I think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.",positive,i think the most wonderful parts literally full of wonder are the excerpts from his works
"The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.",positive,the sets especially designed to work with the camera are amazingstylized beautiful and effective
They could be used as exemplars for any set designer.,positive,they could be used as exemplars for any set designer
The stories were powerful explorations of the nature of man and of art.,positive,the stories were powerful explorations of the nature of man and of art
"After watching this film, I wanted to learn more about the works of this artist.",positive,after watching this film i wanted to learn more about the works of this artist
"I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.",positive,i highly recommend this movie for anyone interested in art poetry theater politics or japanese history
"Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.",positive,here in the wind and the lion we see a wonderful rendering of americas own imperial age
") What makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated Brian Keith playing a bully Teddy - and vivid history.",positive,what makes this story different are the terrific production values faultless photography composition and editing the terrific casting the underappreciated brian keith playing a bully teddy and vivid history
"Though The Wind and the Lion is told largely through the eyes of the son, every member of the family can identify with one of the characters, whether it be Sean Connery's noble brigand, Candace Bergen's feisty heroine, John Huston's wily John Hay or Steve Kanaly's spiffy, radiant, ruthless can-do lieutenant, Roosevelt's ""Big Stick"".",positive,though the wind and the lion is told largely through the eyes of the son every member of the family can identify with one of the characters whether it be sean connerys noble brigand candace bergens feisty heroine john hustons wily john hay or steve kanalys spiffy radiant ruthless cando lieutenant roosevelts big stick
This is high adventure at its best.,positive,this is high adventure at its best
"I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.",positive,i think it was robert ryans best film because he portrayed someone like my father and he was a schizophrenic in real lifemy father although he never murdered anyone but was affected more so during the second world war which made him worse
Having to humour him just to get by and get through the day was so apt.,positive,having to humour him just to get by and get through the day was so apt
"(My mother and brother had to do this)When I saw Robert Ryan portraying this type of man, it was a very good imitation of this type of individual, and I was impressed.",positive,my mother and brother had to do thiswhen i saw robert ryan portraying this type of man it was a very good imitation of this type of individual and i was impressed
Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.,negative,almost all of the songs in cover girl are oldfashioned and not very tuneful
The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.,negative,the most annoying thing about cover girl is the way in which rita hayworth is put up on a pedestal
"Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.",negative,unfortunately cover girl is an example of how hollywood used to exploit women for financial gain
Non-linear narration thus many flashbacks and every part are articulated quite well.,positive,nonlinear narration thus many flashbacks and every part are articulated quite well
The good cinematography also makes her and Monica Bellucci look very beautiful.,positive,the good cinematography also makes her and monica bellucci look very beautiful
A good commentary of today's love and undoubtedly a film worth seeing.,positive,a good commentary of todays love and undoubtedly a film worth seeing
"For people who are first timers in film making, I think they did an excellent job!!",positive,for people who are first timers in film making i think they did an excellent job
"It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.",positive,it was very popular when i was in the cinema a good house and very good reactions and plenty of laughs
It's a feel-good film and that's how I felt when I came out of the cinema!,positive,its a feelgood film and thats how i felt when i came out of the cinema
It has northern humour and positive about the community it represents.,positive,it has northern humour and positive about the community it represents
I rather enjoyed it.,positive,i rather enjoyed it
I liked it.,positive,i liked it
I couldn't take them seriously.,negative,i couldnt take them seriously
It really created a unique feeling though.,positive,it really created a unique feeling though
Vivian Schilling did an excellent job with the script.,positive,vivian schilling did an excellent job with the script
A world better than 95% of the garbage in the theatres today.,positive,a world better than of the garbage in the theatres today
Her role was played well.,positive,her role was played well
Not too screamy not to masculine but just right.,positive,not too screamy not to masculine but just right
The camera really likes her in this movie.,positive,the camera really likes her in this movie
I would have casted her in that role after ready the script.,positive,i would have casted her in that role after ready the script
"As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.",positive,as a european the movie is a nice throwback to my time as a student in the s and the experiences i had living abroad and interacting with other nationalities although the circumstances were slightly different
I am a fan of his ... This movie sucked really bad.,negative,i am a fan of his this movie sucked really bad
Even worse than Ticker!,negative,even worse than ticker
& That movie was bad.,negative,that movie was bad
"Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!",negative,only like or buildings used a couple of locations maybe poor hummh
It just blew.,negative,it just blew
"This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.",positive,this movie is excellentangel is beautiful and scamp is adorablehis little yelps when hes scaredand the funniest parts are whenscamp is caught under the curtain and when angel and scamp are singing ive never had this feeling beforei totally recommend this movieits coming out on special edition on june the cover has scamp on a garbage can and angel underneath the lid
"I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!",positive,i just cant explain this movie more than romanticcharminghilariousand adorablethe junkyard scenes are funnyall the junkyard dogs have something specialtoo funny i laughedkids will love itbuy it when it comes outit has new features
Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.,negative,now we were chosen to be tortured with this disgusting piece of blatant american propaganda
This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.,negative,this show is made for americans it is too stupid and full with hatred and clichs to be admitted elsewhere
"Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.",negative,almost everyone involved must be return to school acting is utterly predictable and bad script is pile of garbage all round
"I wish I could enter negative values, admins?",negative,i wish i could enter negative values admins
"The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.",negative,the sets are so bad they wouldnt look out of place on a thunderbirds episode
"The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.",negative,the use of slowmotion needlessly repeats itself throughout the movie but is well backed up by bad acting and bad is a kind word here no continuity scenes that are thrown in for no reason whatsoever vehicles that looked like they were made from a corn flakes box and a directorial style that bordered on stupidity
"Oh yeah, and the storyline was pathetic too.",negative,oh yeah and the storyline was pathetic too
I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.,negative,i hate writing bad reviews about films especially those in which i really like the star but this film is so bad i dont believe for one second that anyone could have been proud of it
I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.,negative,i am not a filmmaker nor am i a director but i would hide my head in the sand if id spent whatever amount of money and time on this movie
In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.,negative,in short this was a monumental waste of time and energy and i would not recommend anyone to ever see this film
It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.,negative,it came free with a dvd player i bought but i still turned the thing off halfway through because i was embarrassed for howell
positive/10 - and only because there is no setting for negative/10.,negative,positive and only because there is no setting for negative
"An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).",positive,an interesting premise and billy drago is always good as a dangerous nutbag side note id love to see drago stephen mchattie and lance hendrikson in a flick together talk about raging cheekbones
"The soundtrack wasn't terrible, either.",positive,the soundtrack wasnt terrible either
"But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.",negative,but the actingeven that of such professionals as drago and debbie rochonwas terrible the directing worse perhaps contributory to the former the dialog chimplike and the camera work barely tolerable
"Still, it was the SETS that got a big ""10"" on my ""oy-vey"" scale.",positive,still it was the sets that got a big on my oyvey scale
"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.",negative,yes i am simplifying things here for the sake of brevity for this really is at the core of the problems with this film it has too much going on without any real fulfilling explanation
Both do good jobs and are quite amusing.,positive,both do good jobs and are quite amusing
"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.",negative,but the convoluted plot just didnt convince me and much of the film was watched with a weird questioning glance
"I let my girlfriend talk me into seeing this - bad idea, we both hated it.",negative,i let my girlfriend talk me into seeing this bad idea we both hated it
The last 15 minutes of movie are also not bad as well.,positive,the last minutes of movie are also not bad as well
"Bela Lugosi was totally extraneous, intoning odd lines.",negative,bela lugosi was totally extraneous intoning odd lines
"The acting was decidely wooden, though no worse than a period Universal B movie.",negative,the acting was decidely wooden though no worse than a period universal b movie
"I like Armand Assante & my cable company's summary sounded interesting, so I watched it, twice already, and probably will again.",positive,i like armand assante my cable companys summary sounded interesting so i watched it twice already and probably will again
I believe the screenwriter did a good job of tying up the loose ends.,positive,i believe the screenwriter did a good job of tying up the loose ends
My 8/10 score is mostly for the plot.,positive,my score is mostly for the plot
"I won't say any more - I don't like spoilers, so I don't want to be one, but I believe this film is worth your time.",positive,i wont say any more i dont like spoilers so i dont want to be one but i believe this film is worth your time
"Wow, what a bad film.",negative,wow what a bad film
"Not frightening in the least, and barely comprehensible.",negative,not frightening in the least and barely comprehensible
"The plot doesn't hang together at all, and the acting is absolutely appalling.",negative,the plot doesnt hang together at all and the acting is absolutely appalling
Not even good for camp value!,negative,not even good for camp value
"I wasn't expecting Oscar material, but this?",negative,i wasnt expecting oscar material but this
You'd have to have the IQ of particularly stupid mollusk not to see that one coming.,negative,youd have to have the iq of particularly stupid mollusk not to see that one coming
This film (and I use that word loosely) is an insult to the movie-going public.,negative,this film and i use that word loosely is an insult to the moviegoing public
If only someone involved with it knew how to string together narrative!,negative,if only someone involved with it knew how to string together narrative
"This gets a positive out of 10, simply because there's nothing lower.",negative,this gets a positive out of simply because theres nothing lower
"This is one I did not have, but I watched it recently on Fox Movie Channel, and was very disappointed.",negative,this is one i did not have but i watched it recently on fox movie channel and was very disappointed
"I know he was a contract player with little control over his scripts, but the acting was as bad as the script.",negative,i know he was a contract player with little control over his scripts but the acting was as bad as the script
"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.",negative,victor mclaglen was even bad and brian donlevy was almost unrecognizable
"Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.",negative,considering the relations off screen between taylor and stanwyck it was surprising how little chemistry there was on screen between the two of them
But the premise of the film was so ridiculous: that the President of the U.S.,negative,but the premise of the film was so ridiculous that the president of the us
The death row scenes were entirely unmoving.,negative,the death row scenes were entirely unmoving
The only thing worse than Taylor's acting was Stanwyck's singing.,negative,the only thing worse than taylors acting was stanwycks singing
"Whatever the producer was going for, he missed entirely.",negative,whatever the producer was going for he missed entirely
I was deeply impressed with the character he played.,positive,i was deeply impressed with the character he played
I knew when I saw the film that more great things were to come from this gifted actor.,positive,i knew when i saw the film that more great things were to come from this gifted actor
"A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.",negative,a cheap and cheerless heist movie with poor characterisation lots of underbite style stoic emoting think chow yun fat in a better tomorrow and some cheesy clichs thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la john woo
Even the squibs look awful.,negative,even the squibs look awful
At no point in the proceedings does it look remotely like America.,negative,at no point in the proceedings does it look remotely like america
"The plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.",negative,the plot such as it is is so derivative and predictable that the ending is like a mercy killing
The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.,negative,the awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time
"I was very uneasy with how bad this movie was, but not scared at all.",negative,i was very uneasy with how bad this movie was but not scared at all
The dialogue is composed of things that make little sense.,negative,the dialogue is composed of things that make little sense
"About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.",negative,about minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudosatanic gibberish corny enough to make a teen goth blush almost always in olde english and sometimes in latin that may or may not be made up words
The directing is sloppy at best.,negative,the directing is sloppy at best
"Hackneyed writing, certainly, but made even worse by the bad directing.",negative,hackneyed writing certainly but made even worse by the bad directing
"Of course, the acting is blah.",negative,of course the acting is blah
The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.,negative,the acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting
"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.",negative,and finally after all that we get to an ending that wouldve been great had it been handled by competent people and not jerry falwell
"I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.",positive,i loved this movie it was a great portrayal of a family who had its share of ups and down but in the end they knew that special love they had for each other
"I have seen many movies starring Jaclyn Smith, but my god this was one of her best, though it came out 12 years ago.",positive,i have seen many movies starring jaclyn smith but my god this was one of her best though it came out years ago
"This movie contained an all-star cast, and what I loved the most was that it opened my eyes to see other actors who I haven't seen before.",positive,this movie contained an allstar cast and what i loved the most was that it opened my eyes to see other actors who i havent seen before
"This movie was kind of long in length, but I enjoyed every minute of it.",positive,this movie was kind of long in length but i enjoyed every minute of it
Overall I rate this movie a 10 out of a positive-10 scale.,positive,overall i rate this movie a out of a positive scale
"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.",positive,lifetime does not air it enough so if anyone knows what store sells it let me know because this is a musthave
"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.",negative,i particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning and even less meaning
It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.,negative,it is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs
"Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.",positive,totally different with loads of understatement and black comedy this is a film few get to see but those who do will remember it
"This movie creates its own universe, and is fascinating in every way.",positive,this movie creates its own universe and is fascinating in every way
But this movie really got to me.,positive,but this movie really got to me
See it.,positive,see it
"I really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.",positive,i really hope the team behind this movie makes more movies and that they will continue to do so in their own some kinda weird style
"And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.",positive,and i forgot the casting here i superb with trond fausa aurvg being perfect in the role as the bothersome man who doesnt understand where he is what he is doing and why
This movie is a good and humorous comment on life in 2006.,positive,this movie is a good and humorous comment on life in
"I found this move beautiful, enjoyable, and uplifting.",positive,i found this move beautiful enjoyable and uplifting
"Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.",positive,initially the local sites in the film which was filmed here in buffalo intrigued me
Later I found myself lost in the power of the film.,positive,later i found myself lost in the power of the film
The entire audience applauded at the conclusion of the film.,positive,the entire audience applauded at the conclusion of the film
"I left the theater with a lilt in my step, joy in my heart and hope for the human race.",positive,i left the theater with a lilt in my step joy in my heart and hope for the human race
Duris has a wholesome appearance and gives a fine performance.,positive,duris has a wholesome appearance and gives a fine performance
The rest of the cast also play well.,positive,the rest of the cast also play well
Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.,positive,cinematography noteworthy including fine views of barcelona and its famed gaudi towers
About ten minutes into this film I started having second thoughts.,negative,about ten minutes into this film i started having second thoughts
About half way through this film I started to dislike it.,negative,about half way through this film i started to dislike it
"By the time the film ended, I not only disliked it, I despised it.",negative,by the time the film ended i not only disliked it i despised it
What this film lacks is a convincing script.,negative,what this film lacks is a convincing script
The script looks as if only a rough draft was written and shooting began before a finished script was completed.,negative,the script looks as if only a rough draft was written and shooting began before a finished script was completed
"Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.",negative,things happen characters personalities change plot twists occur for no real reason other than that script calls for it
The cast is good.,positive,the cast is good
"For that, it's worth checking out.",positive,for that its worth checking out
This is probably the most irritating show I have ever seen in my entire life.,negative,this is probably the most irritating show i have ever seen in my entire life
It is indescribably the most annoying and idiotic show I have ever seen.,negative,it is indescribably the most annoying and idiotic show i have ever seen
Everything about it is just bad.,negative,everything about it is just bad
"I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.",negative,i could not understand what kind of idiot would produce this mess in the first place not to mention several season
"The script is bad, very bad  it contains both cheesiness and unethical joke that you normally see in rated R or NC-17 movie.",negative,the script is bad very bad it contains both cheesiness and unethical joke that you normally see in rated r or nc movie
"The casting is also horrible, cause all you see is a really really BAD Actors, period.",negative,the casting is also horrible cause all you see is a really really bad actors period
Final Word: This Show is a real torture!!,negative,final word this show is a real torture
It is zillion times away from reality.,negative,it is zillion times away from reality
Watching washing machine twirling around wouldn't hurt your eyes as much as this show.,negative,watching washing machine twirling around wouldnt hurt your eyes as much as this show
Rating: negative/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.,negative,rating negative grade z note the show is so bad that even mother of the cast pull her daughter out of the show
20th Century Fox's ROAD HOUSE 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie.,negative,th century foxs road house is not only quite a silly noir but is an implausible unmitigated bore of a movie
"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.",negative,full of unconvincing cardboard characters it is blandly written by edward chodorov who also produced and is surprisingly directed by jean negulesco from whom one would expect a great deal more
From here on the Widmark character turns unintentionally comical!,negative,from here on the widmark character turns unintentionally comical
His losing his marbles so early in the proceedings is totally implausible and unconvincing.,negative,his losing his marbles so early in the proceedings is totally implausible and unconvincing
And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.,negative,and if that isnt enough of a mess of a movie for you the picture is also marred with a constant use of studio sets and indoor exteriors
